Comment ID,Message,Updated At,Nickname
102655810,"점심끝났어.일햐
주울만큼 주웠으니 올려줘",2025-03-18T13:14:37+09:00,제네시스살거야
102655112,202000은 든든하네~ ㅋㅋㅋㅋ,2025-03-18T13:07:05+09:00,주린이hynix
102654558,일하고올랑께 말아올려놔라잉~,2025-03-18T13:01:01+09:00,노답종목수집가
102654484,이찌 애는20만가면 지득하게 있지를 않네 부담스러운가?,2025-03-18T13:00:17+09:00,골로가는
102654468,아직 한시간 남았다.,2025-03-18T13:00:07+09:00,전체관람
102654374,뭐하냐?ㅡㅡ,2025-03-18T12:59:13+09:00,제네시스살거야
102653468,분매수.,2025-03-18T12:50:45+09:00,매일익절하기
102653312,다 같이 팔자!! 내린다음에 사자 ㅋㅋ,2025-03-18T12:49:11+09:00,씽크빅왜주냐
102653078,그저 지 보유종목 욕하면 광견병 걸린 개마냥 으르렁대는 무뇌아들이 있어서 우리가 돈을 법니다,2025-03-18T12:46:59+09:00,급등주설거지1타강사
102652156,츄룹,2025-03-18T12:38:32+09:00,소규모로
102651240,"생각보다 오늘 많이 빠지네요
오후에 줄여줘~",2025-03-18T12:29:39+09:00,주식모을돈벌어야지
102649242,제발,2025-03-18T12:08:39+09:00,러브천사1565
102648522,"팔면 또 오름

기다리세요",2025-03-18T12:01:05+09:00,마오사아
102648200,18정도에 사서 20에파는게 정배인가,2025-03-18T11:56:56+09:00,퐁퐁뽕
102647512,왜 이러냐 갑자기 오후에 힘좀 내보자,2025-03-18T11:48:47+09:00,돈방석님
102647362,내가 사면 내린다,2025-03-18T11:47:02+09:00,인간지표범
102647224,20.35가 결국 뚫렸네,2025-03-18T11:45:43+09:00,성투파이팅
102647222,왜그래,2025-03-18T11:45:43+09:00,어느새복구
102646358,다행이다,2025-03-18T11:38:24+09:00,주식모아부자되기
102646314,붉은 색으로 머리를 들어주겠니 하닉아,2025-03-18T11:37:58+09:00,주린이탈출하고싶은사람
102646046,담배값 벌고갑니다.,2025-03-18T11:34:58+09:00,말보리
102645336,"올라라!
사자마자 바닥가냐!",2025-03-18T11:27:00+09:00,하루한번하늘보기
102645076,하기 하이닉스는 박스권이 어떻게 되나요? 매수 매도 시점이 어떻개 되는지 궁금합니다 고슈님들,2025-03-18T11:24:36+09:00,쿨하게갑시다
102643982,4월에 큰 하락 있다,2025-03-18T11:14:50+09:00,씽크빅왜주냐
102643408,럼프형이 화나있다~!!!,2025-03-18T11:10:41+09:00,지대로물리따
102639716,외인이랑 기관이랑 바톤터치하네 ㅋㅋㅋㅋ  개인은 계속 매도세인거같고,2025-03-18T10:37:11+09:00,바스카
102639658,고점이 점점 낮아지고 있습니다 그리고 지금은 그 낮아진 고점의 꼭대기구요 진입 잘 고민해보시는게 좋아보여요,2025-03-18T10:36:34+09:00,급등주설거지1타강사
102639170,"늘 생각해 호재에 못가고  악재에도 생각보다 잘 버텨....하닉이는 그냥 딱 정가야 
오르네 못 오르네 하면 안됭 이 친구는 담백해...
갈 때 되면 또 가니까...





어디로 갈 진 모르지만",2025-03-18T10:31:53+09:00,내주식은광견병
102638168,도망차,2025-03-18T10:22:49+09:00,KimHoon
102637686,아 ..또이러네 올리다빼는거.,2025-03-18T10:18:54+09:00,핑뭉치2
102637642,"사자마자 물렷네ㅠ
아휴!",2025-03-18T10:18:35+09:00,하루한번하늘보기
102637526,줄먹이 답인가,2025-03-18T10:17:49+09:00,마오사아
102636738,이친구 어디가노,2025-03-18T10:11:12+09:00,김치전감자전삼전
102635524,밀지마라,2025-03-18T10:02:34+09:00,운빨개미
102635362,삼전 따라가,2025-03-18T10:01:10+09:00,마오사아
102635148,왜이래요..,2025-03-18T09:59:48+09:00,냐냐냐냐옹이
102634990,이거 데자뷰인가..?,2025-03-18T09:58:43+09:00,약간아픈사람
102634786,하...탈출하기 힘드네,2025-03-18T09:56:56+09:00,삼총사3
102633632,찌질찌질 뭐하냐,2025-03-18T09:48:42+09:00,백설곤주
102631180,감사,2025-03-18T09:32:01+09:00,주식모아부자되기
102629614,좀 심하다,2025-03-18T09:22:21+09:00,하닉35만
102627910,SK하이닉스 20만원 다시 갈까?,2025-03-18T09:13:07+09:00,2배만먹자
102627014,어디가누,2025-03-18T09:08:41+09:00,마오사아
102626996,5일선타고 괜찮은 차트인가요?,2025-03-18T09:08:37+09:00,부자될꼬야얍
102513082,"16만원대가 오면 재진입하겠숩니당.
너무 높을때 진입하였네염",2025-03-17T19:47:16+09:00,인생역전가보자고
102511350,실적발표는 언제 하나요??,2025-03-17T19:36:32+09:00,안녕하세오5
102500712,프로그램 매수가 좀아쉽네요,2025-03-17T18:19:01+09:00,한강펀드
102494856,엔비야 업,2025-03-17T17:46:27+09:00,마오사아
102492382,엔비는 급등 낼 23갈라나 드가자 !,2025-03-17T17:34:41+09:00,특개미
102482008,인텔 양수한다고???,2025-03-17T16:18:28+09:00,반포헬로키티
102480982,왜 안오르는 거니 😭,2025-03-17T16:02:10+09:00,고롸니244
102479590,"막판 외인들이 패대기 치는걸 기관이 또 우주방어 해줬네요
삼성이 수주를 한다는 소식때문에 올라가는데 하이닉스는 그에반해 힘이 없었네요 차라리 오늘 하루 조금 빼줬다면.. 하는 생각도 드네요; 4거래일 상승이기는 하나 오늘은 좀 부족하지 않았나 싶습니다. 
우리 황형께서 하이닉스에도 좋은 소식을 조만간 주셨으면 좋겠습니다.

오늘도 고생하셨습니다",2025-03-17T15:41:15+09:00,가자요좀
102479478,음,2025-03-17T15:39:12+09:00,부자될꼬야얍
102478226,마지막에 음전이야?,2025-03-17T15:24:56+09:00,수수수수슈퍼노바
102477790,치킨이다. 헷,2025-03-17T15:20:54+09:00,미세주주줍
102476918,"걍 존버해
엉덩이 무거운 사람이 돈버는거지",2025-03-17T15:12:56+09:00,구라핑
102476132,다음을 기약하자 외국인 기관 매수 장난아닌데...,2025-03-17T15:05:34+09:00,둥글게살고파
102474696,으아앙 어디가,2025-03-17T14:53:49+09:00,우옹애
102473562,"쫄려서 우선 빼요
다시 돌아올게요 *^^*",2025-03-17T14:42:58+09:00,왐마뭥미
102470748,힘좀 써라ㅡ어째 이라누,2025-03-17T14:10:28+09:00,제네시스살거야
102470028,하루종일 제자리만 걷네,2025-03-17T14:03:02+09:00,최프로1
102466194,땡큐,2025-03-17T13:24:13+09:00,익절만하도록해주세요
102466102,루루여 ~ 2시에 1만원 찍자,2025-03-17T13:23:21+09:00,일확천금사나이
102463570,"밥다먹었다~~오후닉스~~
올라가쟈~~~",2025-03-17T13:01:57+09:00,윤쇼닝
102463364,쫘악 가자,2025-03-17T13:00:47+09:00,화이팅커벨
102462172,오늘 21만 가자,2025-03-17T12:48:07+09:00,GoYoGoYo
102461380,"주말동안 빠질까봐 평단왔을 때 기회다싶어
금요일에 뺐더니 오늘 이렇게 오르네요.
지금 다시 들어가면 늦겠죠...ㅠㅠ",2025-03-17T12:39:23+09:00,이번생은틀린걸로
102461292,하  아까 정리 했어야됬군,2025-03-17T12:38:23+09:00,도화살주린
102460504,하이닉스에 봄날은오겠죠 화이팅,2025-03-17T12:30:19+09:00,우마무스
102457066,팍 뚫어 줬음 좋겠는데,2025-03-17T11:58:26+09:00,아주느리게
102455564,이거 빼고 삼성가는 바보들은 없겠죠?,2025-03-17T11:44:34+09:00,묻었다똥됐다
102452144,21만원 매도걸었다 가즈앗,2025-03-17T11:08:31+09:00,enter00
102450752,"내일 존슨황이 연설 마지막에 땡큐 하이닉스 하는 순간 폭등입니다.
그 전에 많이 모으세여 ㅎ",2025-03-17T10:54:14+09:00,김맥스님
102449506,힘이별로없구나,2025-03-17T10:45:48+09:00,효주임
102449220,이거 내일이면 22만원 찍을까요?,2025-03-17T10:43:08+09:00,청객우리
102448670,22만원까지 올라가서 마감해주세용오!!!,2025-03-17T10:38:30+09:00,지여니닝
102448382,22만까지만 쏴줘라,2025-03-17T10:35:49+09:00,고릴라닮은강아지
102447546,"와 21만원에 물려있었는데
이걸 탈출 기회를 준다고?",2025-03-17T10:27:17+09:00,아으군대가기싫어
102446678,"금요일에 안팔고 참길 잘했다 
아침에 개미털기에 안말리길 잘했다 ㅋㅋ 나자신 칭찬해 토닥",2025-03-17T10:19:26+09:00,JYP모건프리먼
102446414,다시 올라가자,2025-03-17T10:16:54+09:00,성투파이팅
102445742,"하이닉스도  흥해랏 ㅡ주주아님

https://www.sisajournal-e.com/news/articleView.html?idxno=410253",2025-03-17T10:11:22+09:00,닭트넘
102444162,웬일이람 ㅋㅋ,2025-03-17T09:59:50+09:00,JP11
102444028,https://m.blog.naver.com/1stock1step/223798946364,2025-03-17T09:59:01+09:00,한주씩한걸음씩
102443976,가자가자,2025-03-17T09:58:40+09:00,GoYoGoYo
102436708,19에 쩌억~,2025-03-17T09:14:48+09:00,johnrogan
102436204,ㅋㅋㅋㅋㄲㄲㄲㅋㅋㄱㅋ키긱ㅋㅋㅣㅣ,2025-03-17T09:12:12+09:00,더담아
102436098,뭔 일 ㅠ,2025-03-17T09:11:36+09:00,어느새복구
102436076,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2025-03-17T09:11:30+09:00,조스닥십스피
102435714,오늘은 삼전 쪽으로 물량 들어오네,2025-03-17T09:09:48+09:00,성투파이팅
102435522,로우닉스 원대복귀 명령!,2025-03-17T09:09:04+09:00,씽크빅왜주냐
102435390,왜 내려가니?ㅜㅜ,2025-03-17T09:08:30+09:00,제네시스살거야
102434182,23만까지 가보자~~,2025-03-17T09:02:36+09:00,수수수수슈퍼노바
102434002,21만 가즈아,2025-03-17T09:01:30+09:00,성투파이팅
102433986,가즈악,2025-03-17T09:01:25+09:00,엘리샤데이지
102433948,금요일에 못판게 신의한수였다니,2025-03-17T09:01:08+09:00,강냉ee
102433906,이열기다린보람이,2025-03-17T09:00:48+09:00,도화살주린
102432996,따ㅡㅡㅡㅡㅡㅡㅡㅡ잇!!!!,2025-03-17T08:36:36+09:00,팬더팀
102432188,"1. 앤비디아 GTC 2025 내일 부터 개막,  황사장은 양자 컴퓨팅 분야 주요 인사들과 양자 애플리케이션 개발을 위한 로드맵 논의 예정, 큰폭으로 상승했던 양자주들, 상승세 이어갈지 주목됨,

2. 이번주 지수 및 실적 발표

1) 오늘 21:30, 소매 판매 발표
2) 목요일 03:00, FOMC 회의 결과 발표
3) 목요일 03:00, 신규 실업 수당 청구 건수
4) 금요일 : 네마녀의 날 
5) 금요일 : 퀀텀 컴퓨팅 실적 발표

3. 한국형 차기 구축함 사업 KDDX 사업 방식, 오늘 오후 2시 결정, 한화 오션&현대중공업 주가에 변동 있을지 주목, 선도함은 현대, 나머지는 5척은 현대와 한화가 나눠갖는 방식 유력함

- 나눠 갖는다면 한화에게 좋은 것임.

4. 백사장의 더본 코리아, 악재 기사 연이어 터지는 중

- 갑자기 왜 지금와서 연이어 터지는지??

5. 프랑스, 우크라에 수천명 단위 파병 제안, 러시아 허락 필요없어

- 마크롱 쎄게 나가네?? 

6. 주말간 비트코인 -2% 하락

7. 중국 현지 밀크티 한국 시장 진출, 관련 회사는 나스닥 상장도 추진중.",2025-03-17T07:52:54+09:00,목포낭만검객부캐
102429678,주가가 너무 싼거 같은데,2025-03-17T00:22:03+09:00,감시자들정우성
102424588,속보떴는데…다음주 괜찮겠죠,2025-03-16T19:45:09+09:00,욘조미
102422494,다음주에 거의 뭐 25층 갈 거 같은 기분이가 이왕갈거 해왕성까지 가죠..,2025-03-16T18:00:30+09:00,특개미
102419918,아 좀 더 홀딩할껄 ㅜ 엔비디아 반등 할 줄이야,2025-03-16T15:20:04+09:00,만담의
102413586,가봅시다,2025-03-16T01:08:23+09:00,나만믿고따라와봐
102400278,22 뚫을듯,2025-03-15T12:43:50+09:00,마오사아
102397356,"1. 미 상원, 예산법안 통과, 셧다운 피하여 증시는 모처럼 크게 상승(나스닥 : 2.6%)

앤비디아 : 5.2%
테슬라 : 3.8%
TSLL : 7.5%
팔란티어 : 8.3%
오클로 : 15.7%
슈퍼마이크로 컴퓨터 : 7.9%
SMCX : 15.3%
템퍼스 Ai : 11.8%
사운드하운드 Ai : 16%
빅베어 Ai : 7.9%
Ses Ai : 9.0%

2. 앤비디아 개발자 컨퍼런스 CTC 2025 앞두고 기대감에 양자주들 일제히 큰폭으로 상승

아이온큐 : 16.9%
IONX : 33.6%
리게티 컴퓨팅 : 28.2
퀀텀 컴퓨팅 : 29.1
실SQ : 21.1
디웨이브 퀀텀 : 46.8%

3. 비트코인, 3% 상승

- 스트레티지 : 13%
- MSTU : 24.8%
- MSTZ : -25.4%
- 코인베이스 : 3.1%
- ETHU : 9%

4. CATL, 사상 첫 연간 매출 9.7% 감소,
순이익은 15% 증가, 미 국방부가 중국 군사 기업 목록에 추가시킨 영향인듯

5. 새로운 캐나다 총리 취임, 절대 미국의 일부가 되지 않을 것이라 밝혀

- 트럼프의 미국과 경쟁 예상

6. 금값, 처음으로 온스당 3000달러 돌파, 트럼프 관세 영향으로 안전자산으로 돈 몰린듯

7. 이틀전 부터 양자주 추세 전환 예고한 토스 유저, 실력으로 증명하여 화제

- 어, 형이야.",2025-03-15T10:44:29+09:00,목포낭만검객부캐
